city,admin_name,name,ID,address
Collegno,Piemonte,Top Art,3175238751,Corso Francia 44
Condove,Piemonte,Tromp Cafè,1110135094,Squinzano 60
Corio,Piemonte,Bar,2527949817,Unione Montana di Comuni delle Valli di Lanzo 55
Corio,Piemonte,Ferroglio,2527949791,Via Regina Margherita 168
Favria,Piemonte,Bar La rosa bianca,2143130534,SP13/3 39
Feletto,Piemonte,Cadillac,2035524953,Piazza Martiri Felettesi 95
Feletto,Piemonte,Cin Cin,2035524978,Via Mario Castagna 145
Foglizzo,Piemonte,Bar Torino,1672314775,Via Roma 97
Foglizzo,Piemonte,Piccolo Bar,2704080514,Via Umberto I 4
Frossasco,Piemonte,Ristorante Bar Bellini,2338660541,Via Principe Amedeo 15
Frossasco,Piemonte,Zero 121 Caffè Ristoro,2219423318,Via Torino 1/9
Giaglione,Piemonte,Bar dou Clòo,1913361931,Frazione Sant'Andrea 45
Grugliasco,Piemonte,Bar Futurama,2217301834,Ispica 124
Grugliasco,Piemonte,Foodball,990230990,Corso Adriatico 41
Ivrea,Piemonte,Bar Caffetteria Il Cerchio,2660064534,Corso Massimo d'Azeglio 32
Ivrea,Piemonte,Bar il Macinino,2660064536,Corso Massimo d'Azeglio 61/B
Ivrea,Piemonte,Bar Il Puffo,2662079314,Corso Vercelli 62
Ivrea,Piemonte,Bar Italia,2652491144,Corso Camillo Cavour 38
Ivrea,Piemonte,Bar Italo,2635310998,Via Giuseppe Di Vittorio 92
Ivrea,Piemonte,Bar Luna,2630658512,Via Torino 287
Ivrea,Piemonte,Bar Piemonte,2660064535,Vicolo Baratono 103
Ivrea,Piemonte,Barra di Ferro,1892958130,Corso Giuseppe Garibaldi 49
Ivrea,Piemonte,Bar Roma,2652491156,Piazza Ferruccio Nazionale 25
Ivrea,Piemonte,Bar Stella,2586432854,Corso Vercelli 115
Ivrea,Piemonte,Bar Tamborini,2652491162,Piazza Ferruccio Nazionale 13
Ivrea,Piemonte,Bar Torino,1877288991,Corso Costantino Nigra 42
Ivrea,Piemonte,Belushi,1892958134,Via Circonvallazione 24
Ivrea,Piemonte,Café San Domenico,2642222061,Via Arduino 103
Ivrea,Piemonte,Caffé Cavour,2642222060,Corso Camillo Cavour 70
Ivrea,Piemonte,Caffé Eporedia,1892958949,Via Padre Giovanni Benvenuti 12
Ivrea,Piemonte,Caffè lo scorpione,1877349578,Corso Costantino Nigra 59
Ivrea,Piemonte,Caffetteria del Borgo,2635311000,Piazza Alfonso La Marmora 11
Ivrea,Piemonte,Caffetteria del Corso,1892546646,Corso Massimo d'Azeglio 5e
Ivrea,Piemonte,Croce Bianca,1892958161,Via Quattro Martiri 180
Ivrea,Piemonte,Enoteca Bar AStor,2630658518,Via Torino 265
Ivrea,Piemonte,Flowers Café,2642222065,Corso Costantino Nigra 27
Ivrea,Piemonte,Gallery Café,2666209517,Via Cascinette 120
Ivrea,Piemonte,Giobar Cafè,2638040692,Corso Costantino Nigra 34
Ivrea,Piemonte,Il Chiosco,1888749978,Corso Costantino Nigra 12
Ivrea,Piemonte,Il Nido delle Fate,2660064545,Corso Massimo d'Azeglio 64
Ivrea,Piemonte,JacoBAR,1892958229,Striano 17
Ivrea,Piemonte,La Violetta,1877338305,Via Guido Gozzano 25
Ivrea,Piemonte,Monte Bianco,1892958237,Via Castiglia 37
Ivrea,Piemonte,Rebus Café,2660064610,Corso Massimo d'Azeglio 15
Ivrea,Piemonte,Samsara,1892958977,Via Sant'Ulderico 105
Lessolo,Piemonte,Bar Le Grand Père,2925194730,Via Vittorio Veneto 44
Lessolo,Piemonte,Bar Trattoria Pizzeria La Società,2925194731,Via Vittorio Veneto 31
Lessolo,Piemonte,Chioschetto Bar Osteria,2925194739,Via Arduino Casale 55
Luserna San Giovanni,Piemonte,Bar Tea Room,2235698758,Via A. Volta 4
Luserna San Giovanni,Piemonte,Lisi Bar,2274912928,Via Primo Maggio 98
Luserna San Giovanni,Piemonte,Momo Bar,2196579801,Via Roma 130
Monastero Di Lanzo,Piemonte,Bar Carolina,2908898888,Strada Fontana Sistina 167
Monastero Di Lanzo,Piemonte,Bar Merlin,2908898889,Fornelli SP31
Monastero Di Lanzo,Piemonte,Il Giardino Pensile,2908898890,Strada Fontana Sistina 128
Moncalieri,Piemonte,Bar Le Clips,3315326944,Via Martiri della Libertà 77
Moncalieri,Piemonte,Bar Liceo,2132323641,Via Mario Pannunzio 91
Moncalieri,Piemonte,Blanco Café Restaurant,3315326945,Via Cavour 61
Moncalieri,Piemonte,Caffetteria dell'Arco,3457608054,Via San Martino 199
Moncalieri,Piemonte,Facis,2893344703,Via Enzo Ferrari 197
Moncalieri,Piemonte,Gran Bar,3315326947,Piazza Caduti per la libertà 5
Moncalieri,Piemonte,L'Ora Giusta,2134812997,Piazza Caduti per la libertà 15
Montalenghe,Piemonte,Bar Vineria La Botte Gaia,2942677100,Valenza 174
Montalenghe,Piemonte,Cremeria Naretti,2942678020,Via Roma 126
Nichelino,Piemonte,bar roma,2517055341,Via Venticinque Aprile 121
Nichelino,Piemonte,Caffè Villa Reale,3678027962,Viale Torino 12
Nichelino,Piemonte,Il Clarinetto,2579593766,Via Venticinque Aprile 148
Orbassano,Piemonte,Al13,1376576638,Via della Bassa 48
Orbassano,Piemonte,Aladino's,1109029752,Strada Stupinigi 50
Orbassano,Piemonte,Bar San Giuseppe,1377362319,Via Vittorio Emanuele II 185
