city,admin_name,name,ID,address
Cormano,Lombardia,Teatro del Buratto,1558406769,Via Gianni Rodari 3
Cusano Milanino,Lombardia,Aia Taumastica - Torre dell?Acquedotto,982675406,17 bis 107
Magenta,Lombardia,CinemateatroNuovo,626352412,Via San Martino 124
Magenta,Lombardia,Teatro Lirico,611023932,Via Brenno Cavallari 73
Melzo,Lombardia,Teatro Trivulzio,261666496,Piazza Risorgimento 142
Milano,Lombardia,Auditorium di Milano,478795478,Via Conchetta 166
Milano,Lombardia,Auditorium Giovanni Testori,3147227479,Piazza Città di Lombardia 1
Milano,Lombardia,Auditorium San Fedele,442587179,Duomo no
Milano,Lombardia,Greco,279829028,Municipio 2 153
Milano,Lombardia,OutOff,252635403,Via Mac Mahon 129
Milano,Lombardia,Piccolo Teatro Grassi,281885884,Via Rovello 2/B
Milano,Lombardia,PIM Spazio Scenico,439208909,Naples 118
Milano,Lombardia,San Babila,439207301,Piazza San Babila 10
Milano,Lombardia,Spazio Tadini,2345613403,Via Niccolò Jommelli 24
Milano,Lombardia,Teatro Carcano,442572432,Corso di Porta Romana 63
Milano,Lombardia,Teatro dei filodrammatici,1285364954,Via Filodrammatici 1
Milano,Lombardia,Teatro della 14a,441580391,Via Oglio 30
Milano,Lombardia,Teatro della Contraddizione,3652841909,Via privata della Braida 45
Milano,Lombardia,Teatro della Memoria,252635404,Via Domenico Cucchiari 4
Milano,Lombardia,Teatro del Parco Trotter,265654320,Via Giovanni Pontano 40
Milano,Lombardia,Teatro del Vigentino,1789998366,Via Barletta 86
Milano,Lombardia,Teatro Elfo Puccini,1714332504,Corso Buenos Aires 33
Milano,Lombardia,Teatro Franco Parenti,2065222330,Via Pier Lombardo 6
Milano,Lombardia,Teatro i,439209165,Via Gaudenzio Ferrari 11
Milano,Lombardia,Teatro Leonardo da Vinci,1427961587,Via Andrea Maria Ampère 1
Milano,Lombardia,Teatro Libero,2404012462,Via Savona 117
Milano,Lombardia,Teatro Lirico di Milano,2937821817,Villanuova sul clisi 147
Milano,Lombardia,Teatro Manzoni,251291809,Via Alessandro Manzoni 42
Milano,Lombardia,Teatro Nuovo,1855779383,Piazza San Babila 72
Milano,Lombardia,Teatro Sala Fontana,2491568216,Gualtieri 26
Milano,Lombardia,Teatro San Domingo,3719659369,Via Rovigno 11/A
Milano,Lombardia,Teatro Sant'Andrea,258034830,Via Trebbia 93
Milano,Lombardia,Teatro Verdi,2479386540,Via Pastrengo 16
Milano,Lombardia,Teatro Verga,283049460,Via Giovanni Verga 98
Milano,Lombardia,Tieffe Teatro,435189356,Via Ciro Menotti 147
Paderno Dugnano,Lombardia,Teatro Stefano Strada,2046503080,Via Giovanni Amendola 41
Pieve Emanuele,Lombardia,BEAT Scuola d'Arte,3076938289,Spoleto 16
Segrate,Lombardia,Cascina Commenda,603797464,Via Giorgio Amendola 57
Bergamo,Lombardia,Spazio Polaresco,945017321,Finazzi 25
Bottanuco,Lombardia,Sala della Comunità,664002151,Via Locatelli 153
Costa Valle Imagna,Lombardia,Teatro parrocchiale,2444734168,Via Miravalle 75
Roncobello,Lombardia,Sala Polivalente,1356243514,Viale dei Caduti 127
Villa D'Alme',Lombardia,Teatro Serassi,2087602858,Via Locatelli Milesi 58
Brescia,Lombardia,Teatro Grande,1668862274,Portici di Corso Giuseppe Zanardelli 94
Brescia,Lombardia,Teatro Sociale,1668862277,Corsia Gambero 27
Chiari,Lombardia,Auditorium Bettolini,3132740097,Viale Pietro Cadeo 17
Chiari,Lombardia,Saletta Ottavia,3453734559,Viale Pietro Cadeo 17
Dello,Lombardia,Centro culturale San Giorgio,2098092702,Via Undici Febbraio 91
Gottolengo,Lombardia,Teatro Zanardelli,2432098764,Piazza Venti Settembre 84
Leno,Lombardia,Teatro Comunale,2647654051,Via Dante Alighieri 7
Leno,Lombardia,Teatro Oratorio,2647654052,Via Re Desiderio 37
Manerbio,Lombardia,Teatro Politeama,2433650803,Via Marsala 52
Rezzato,Lombardia,Sala Civica Italo Calvino,979826154,Via Brescia 160
Rovato,Lombardia,Teatro L. Zenucchini,2121227456,Via Castello 194
Tignale,Lombardia,Auditorium,1209852915,Via Badiale 42
Vezza D'Oglio,Lombardia,Centro Eventi Adamello,548736177,Via del Piano 123
Casteggio,Lombardia,La Fabbrika della Musica 24,581999654,Via Teresio Bernini 101
Godiasco,Lombardia,Teatro Cagnoni,2492169248,Via Ardivestra 172
Mortara,Lombardia,Auditorium,2351212848,Via Dante Alighieri 44
Mortara,Lombardia,Teatro comunale Vittorio Emanuele II,444012236,Via Luigi Belluschi 184
Pavia,Lombardia,Teatro Fraschini,634994530,Corso Strada Nuova 116
Retorbido,Lombardia,Teatro Comunale,3463110343,Piazza Roma 118
Travaco' Siccomario,Lombardia,Teatro Spazio ISV,3513311091,Via Luigi Einaudi 151
Vigevano,Lombardia,Civico Teatro Cagnoni,439789281,Via Guido da Vigevano 129
Voghera,Lombardia,Cinema - Teatro Arlecchino,1827392492,Viale Repubblica (Ciclabile) 174
Voghera,Lombardia,Cinema-Teatro Padri Barnabiti,1952422563,Via Giuseppe Garibaldi 80
Voghera,Lombardia,Cinema-Teatro San Rocco,1827392480,Piazza Dino Provenzal 98
Mantova,Lombardia,Teatrino d'Arco,2470519364,Via Angelo Scarsellini 81
Marmirolo,Lombardia,Teatro Comunale,2416131227,Via Meucci 115
Pegognaga,Lombardia,Teatro Anselmi,2449211260,Via Giuseppe Verdi 66
Sabbioneta,Lombardia,Teatro Olimpico,2638132669,Via Teatro Olimpico 53
Appiano Sulla Strada Del Vino,Trentino-Alto Adige,Kultursaal,1222907819,Kapuzinerstraße - Via Cappuccini 53
Bolzano,Trentino-Alto Adige,Auditorium - Konzerthaus,1402798992,Via Dante - Dantestraße 15
Bolzano,Trentino-Alto Adige,Teatro Rainerum,1337552650,Piazza Domenicani - Dominikanerplatz 15
